Date,Model,Capacity,Price,Link,Description
2024-06-06,iPhone 14 Plus,128GB,"€ 475,00","Iphone 14 plus 128gb paars zo goed als nieuwe geen gebreken batterijconditie 87% inclusief doosje en laadkabel €475,-",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123389801-iphone-14-plus-128gb-zgan
2024-06-06,iPhone 14 Pro,256GB,"€ 750,00",Perfect werkende iphone 14 pro telefoon heeft een hele lichte schade aan de achterkant die niet zichtbaar is met een hoesje. Scher,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123452065-iphone-14-pro-256gb-in-perfecte-conditie
2024-06-06,iPhone 14 Plus,128GB,"€ 550,00",Apple iphone 14 plus midnight 128gb toestel werkt nog uitstekend en ziet er ook nog netjes uit altijd gebruikt met een hoesje en g,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123490088-iphone-14-plus-midnight
2024-06-06,iPhone 14 Plus,256GB,"€ 500,00",Nette iphone 14 plus. Er heeft altijd een hoesje omheen gezeten. Zijkanten zijn niet beschadigd. Ook zit er een screenprotector op,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123529826-iphone-14-plus-256-gb
2024-06-06,iPhone 14,128GB,"€ 500,00","Iphone 14 blauw nog in zeer goede en nette staat, met doos en oplader, er zit een screen protector op en een hoes omheen waardoor",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123377174-iphone-14-128gb-blauw
2024-06-06,iPhone 14 Pro,,"€ 600,00",Goede iphone 14 pro heeft wat gebruiksporen vandaar de prijs van 600 euro! Prijs is vast inclusief doosje. Ook als u hem komt opha,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123434130-apple-iphone-14-pro
2024-06-06,iPhone 14,128GB,"€ 525,00","Iphone 14 128gb rondom als nieuw, geen enkele beschadiging of kras (nieuw). Bijna 1 jaar oud, zie foto. Batterij conditie 95%. Inc",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123464031-iphone-14
2024-06-06,iPhone 14 Pro Max,128GB,"€ 675,00",Verkoopreden: aanschaf nieuwe telefoon 91% batterij voor 650€ vandaag ophalen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123475738-iphone-14-pro-max-128gb
2024-06-06,iPhone 14,128GB,"€ 475,00",Overbodig in verband met nieuwe werktelefoon. Zonder gebruikerssporen. Telefoon gaat mee inclusief screenprotector en telefoonhoes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123544928-apple-iphone-14-128gb-zwart
2024-06-06,iPhone 14 Pro,128GB,"€ 650,00",Telefoon is in goede staat batterij capaciteit: 85% gebruikssporen: geen krassen op voor en achterkant. Wat krasjes op de zijkant,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2123300500-iphone-14-pro-deep-purple-128gb
