Date,Model,Capacity,Price,Link,Description
2024-06-16,iPhone X,64GB,"€ 155,00","Iphone x 64 gb. Fully operational, including face id, battery condition acceptable, urgent sale and personal meeting i will transl",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126961983-iphone-x-64-gb
2024-06-16,iPhone X,64GB,"€ 150,00",Ligt al een tijdje in de kast voor backup maar ga het niet meer gebruiken. In nieuwstaat. Health is 82% glazen screen protector in,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126854639-iphone-x-space-gray-64-gb
2024-06-16,iPhone X,64GB,"€ 100,00",Deze telefoon is dagelijks gebruikt en is in zeer goede conditie. Ios 16.5 Is geïnstalleerd. Zeer lichte gebruikssporen op het gla,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126936389-iphone-x-64-gb
2024-06-16,iPhone X,64GB,"€ 175,00",Mooie iphone x met 64gb aan opslag. Is in een witte kleur. Alles ziet er goed uit en werkt. Scherm en batterij zijn laatst vervang,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127016619-iphone-x-64gb-batterij-100
2024-06-16,iPhone X,64GB,"€ 175,00",De iphone is nog goed werkend. Er zitten wat beschadigingen op de zijkant (zie foto’s) ook op het scherm zitten wat kleine krasjes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126951069-iphone-x-64gb
2024-06-16,iPhone X,64GB,"€ 100,00",Iphone x 64gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127072510-iphone-x-64gb
2024-06-16,iPhone X,64GB,"€ 80,00",Front camera is heel mistig maar werkt voor de rest compleet goed,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127188809-iphone-x-64gb
2024-06-16,iPhone X,64GB,"€ 125,00","Ik verkoop mijn telefoon omdat ik een nieuwe heb gekocht. Geen krasje of barst helemaal in orde, maximaal een half jaar oud de bat",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127064618-iphone-x-64gb-zwart
2024-06-16,iPhone X,64GB,"€ 120,00","Zeer nette iphone x, nagenoeg krasvrij. Faceid is uitgeschakeld. Vaste prijs, 120,- inclusief, originele lader, kabel en magsafe h",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126863580-iphone-x-64gb
2024-06-16,iPhone X,64GB,"€ 130,00",Hallo hierbij een iphone x zilver wit van 64 gb zeer nette telefoon alles werk echt prima behalve de face id maar dit heb je ook n,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126848678-iphone-x-zilver-wit-64-gb
2024-06-16,iPhone X,,"€ 120,00",Tekoop iphone x alleen achter kant glas kapot verder werkt die na behoren mvg,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127044120-iphone-x
2024-06-16,iPhone X,64GB,"€ 100,00",Apple iphone x/ 10 64gb zonder beschadigingen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2126959759-apple-iphone-x-10-64gb-zonder-beschadigingen
2024-06-16,iPhone X,256GB,"€ 120,00",Iphone x 256gb zwart kleine beschadiging rechts boven bijna onzichtbaar met hoesje alles werkt naar behoren inclusief diverse hoes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2127184244-iphone-x-256gb-zwart
