Date,Model,Capacity,Price,Link,Description
2024-06-20,iPhone Xr,64GB,"€ 130,00",Apple iphone xr black edition 64gb zgan= top condition 97% battery status original tecnisch en uiterlijk ok met usb kabel en oplad,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128470288-apple-iphone-xr-64gb-zgan-battery-97-130
2024-06-20,iPhone Xr,64GB,"€ 110,00",Iphone xr 64 gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128318203-iphone-xr-64-gb
2024-06-20,iPhone Xr,,"€ 300,00",Ben je op zoek naar een betrouwbare en goed onderhouden smartphone? Ik bied mijn iphone xr te koop aan voor slechts €300! Dez,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128478184-te-koop-iphone-xr
2024-06-20,iPhone Xr,,"€ 150,00","Een zeer goede iphone met doos. Batterij 89% heeft geen beschadigingen en is niet van nieuw te onderscheiden op de vraag, wat ik e",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128250237-iphone-xr-in-nieuw-staat
2024-06-20,iPhone Xr,128GB,"€ 110,00",Iphone xr 128gb met kleine barst in scherm,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128365693-iphone-xr-128gb-met-kleine-barst-in-scherm
2024-06-20,iPhone Xr,64GB,"€ 95,00",Merk: iphone xr maximumcapaciteit: 84% (batterij) kleur: wit gb: 64 gb staat voorkant: gebarsten staat achterkant: zonder krassen,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128417630-iphone-xr-64-gb
2024-06-20,iPhone Xr,128GB,"€ 150,00",Wegens telefoon van werk heb ik deze over. In goede staat.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128306698-iphone-xr-128-gb-koraalrood
2024-06-20,iPhone Xr,64GB,"€ 150,00","Wegens andere telefoon te koop. Let op, achterkant glas is kapot.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128225743-iphone-xr-64gb
2024-06-20,iPhone Xr,64GB,"€ 130,00",Goede nette telefoon en alles werkt. Batterijcapaciteit 89% telefoonhoes ook aanwezig.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128364692-te-koop-iphone-xr-64-gb
2024-06-20,iPhone Xr,64GB,"€ 125,00",Zeer nette en leuke iphone xr conditie: lichte gebruiksporen (altijd screen protectors en hoesjes gedragen) opslag: 64gb kleur: bl,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128443791-iphone-xr-64gb-blauw
2024-06-20,iPhone Xr,64GB,"€ 60,00",Iphone xr 64gb excl. Lader uit 2020 werkend te zien,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128279506-iphone-xr-64gb
2024-06-20,iPhone Xr,128GB,"€ 80,00",Werkt naar behoren/goede staat helaas wel een keer gevallen (gelukkig alleen achterkant gebarsten) scherm doet het goed hoesje kri,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128222707-iphone-xr-wit-128-gb
2024-06-20,iPhone Xr,128GB,"€ 100,00","Iphone xr met een geheugencapaciteit van 128gb, de batterijconditie is 84%. De telefoon is in een prima staat, voorzijde gebruiksk",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128269420-iphone-xr-128gb-prima-staat
2024-06-20,iPhone Xr,64GB,"€ 150,00",Ik verkoop dit omdat ik een nieuwe telefoon heb aangeschaft. Deze telefoon is zorgvuldig gebruikt. Zitten wel gebruiks sporen op.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128342930-iphone-xr-64-gb-goede-staat
2024-06-20,iPhone Xr,64GB,"€ 200,00","De iphone werkt nog goed, batterij percentage is boven de 85%. Er zit een scheur in het beeldscherm maar functioneert verder nog g",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128401902-iphone-xr-wit-64-gb
2024-06-20,iPhone Xr,128GB,"€ 150,00",Iphone xr 128gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128467363-iphone-xr-128gb-met-goeie-batterij-conditie
2024-06-20,iPhone Xr,64GB,"€ 175,00",Te koop een mooie iphone xr 64gb,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128493554-te-koop-iphone-xr-64-gb
2024-06-20,iPhone Xr,64GB,"€ 140,00",In goede staat verkerende iphone xr. 64Gb. Batterij is nog goed. Zie de foto. Incl siliconen hoesje en glasplaatje op het scherm,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2128335402-iphone-xr-in-goede-staat
