Date,Model,Capacity,Price,Link,Description
2024-06-03,iPhone Xs Max,,"€ 200,00",Xs max met lader face is doet het prijs is onderhandelbaar,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122447043-iphone-xs-max-pro
2024-06-03,iPhone Xs Max,256GB,"€ 150,00","In perfecte staat, geen krassen of schade aan de iphone. Altijd in een hoesjes gezeten en die krijg je er gratis bij batterij capa",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122382976-iphone-xs-max-256-gb
2024-06-03,iPhone Xs Max,256GB,"€ 250,00",Erg nette iphone xs max. De telefoon bevat geen gebruikerssporen omdat hij altijd met screenprotector en hoesje gebruikt is. Wordt,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122254232-iphone-xs-max-256-gb-zwart
2024-06-03,iPhone Xs Max,64GB,"€ 200,00",Xs max 64 gb face id werkend achterkant was kapot is gerepareerd heeft rose kleur,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122420940-iphone-xs-max
2024-06-03,iPhone Xs Max,64GB,"€ 200,00","Ik verkoop dit omdat ik een nieuwe telefoon heb gekocht. De conditie is goed, geen schade en geen krasjes. Wordt geleverd met een",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122551125-apple-iphone-xs-max-64-gb-krasvrij-nieuwstaat
2024-06-03,iPhone Xs Max,,"€ 200,00","Altijd netjes mee omgegaan, schadevrij.",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122316614-iphone-xs-max
2024-06-03,iPhone Xs Max,,"€ 200,00",Apple iphone xs max orgineel nederlands prachtig silver line kleur. Zo goed als nieuw. Weinig gebruikt vanwege overstap naar hoger,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122306350-iphone-xs-max-silver-batt-87-incl-veel-accessoires
2024-06-03,iPhone Xs Max,,"€ 180,00",Iphone xs max rose gold. Een aantal jaar met plezier gebruikt maar heb nu een nieuwe gekocht vandaar dat ik deze verkoop. De telef,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122363681-iphone-xs-max-rose-gold
2024-06-03,iPhone Xs Max,64GB,"€ 199,99",Toestel werkt nog uitstekend na 10 jaar verkoopervaring heb ik vastgesteld dat er twee soorten mensen zijn op marktplaats: 1. Men,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122434625-iphone-xs-max-64gb-goud-82-accu
2024-06-03,iPhone Xs Max,256GB,"€ 200,00",Te koop iphone xs max nieuwstaat 91 procent werkt perfect met doosje weinig gebruikt bieden mag hou het wel netjes,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122300903-te-koop-iphone-xs-max-nieuwstaat-91-procent-256gb
2024-06-03,iPhone Xs Max,,"€ 250,00",Ik verkoop mijn iphone xs max omdat ik een nieuwe telefoon heb. Er zitten gebruikerssporen op maar doet het perfect! Berichten voo,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122408616-iphone-xs-max
2024-06-03,iPhone Xs Max,,"€ 225,00","Ik verkoop dit omdat ik een nieuw toestel heb de conditie is erg goed voor en slachterijen zijn goed, met nieuwe schermpje wordt g",https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122471394-nieuwe-batterij-iphone-xs-max
2024-06-03,iPhone Xs Max,64GB,"€ 275,00",Als nieuwe iphone xs max heeft geen krassen of beschadigingen. Heeft 64 gb opslaggeheugen en heeft nog 88% batterijcapaciteit. Doo,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122201498-iphone-xs-max-als-nieuw
2024-06-03,iPhone Xs Max,,"€ 5,00",Ongebruikte privacy screen protector,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122378123-privacy-screen-protector-iphone-11-promax-xs-max
2024-06-03,iPhone Xs Max,256GB,"€ 275,00",Deze iphone is nog in hele goede staat en onbeschadigd.,https://www.marktplaats.nl/v/telecommunicatie/mobiele-telefoons-apple-iphone/m2122485053-iphone-xs-max-pro-256-gb-incl-3-hoesjes
